电影名称,上映日期, ,评分,电影网址
驯龙高手 How to Train Your Dragon,2010-05-14(中国大陆),"2010-03-18(俄罗斯),2010-03-26(美国)",8.7,https://movie.douban.com/subject/2353023/
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,2010-07-17(日本), ,8.8,https://movie.douban.com/subject/4202302/
射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993-02-05(中国香港), ,8.7,https://movie.douban.com/subject/1316510/
菊次郎的夏天 菊次郎の夏,2020-09-10(中国大陆),"1999-05-20(戛纳电影节),1999-06-05(日本)",8.8,https://movie.douban.com/subject/1293359/
幸福终点站 The Terminal,2005-01-14(中国大陆),2004-06-18(美国),8.8,https://movie.douban.com/subject/1292274/
爱在日落黄昏时 Before Sunset,2004-02-10(柏林电影节),2004-07-30(美国),8.8,https://movie.douban.com/subject/1291990/
恐怖直播 더 테러 라이브,2013-07-31(韩国), ,8.8,https://movie.douban.com/subject/21360417/
完美的世界 A Perfect World,1993-11-24(美国), ,9.1,https://movie.douban.com/subject/1300992/
功夫,2004-12-23(中国大陆/中国香港),"2015-01-15(中国大陆3D),2004-09-14(多伦多电影节)",8.6,https://movie.douban.com/subject/1291543/
人生果实 人生フルーツ,2017-01-02(日本), ,9.5,https://movie.douban.com/subject/26874505/
神偷奶爸 Despicable Me,2010-06-20(莫斯科电影节),2010-07-09(美国),8.6,https://movie.douban.com/subject/3287562/
"怪兽电力公司 Monsters, Inc.",2001-11-02(美国),2012-12-19(美国),8.7,https://movie.douban.com/subject/1291579/
玩具总动员3 Toy Story 3,2010-06-16(中国大陆),2010-06-18(美国),8.8,https://movie.douban.com/subject/1858711/
天书奇谭,1983(中国大陆), ,9.2,https://movie.douban.com/subject/1428581/
傲慢与偏见 Pride & Prejudice,2005-09-16(英国), ,8.6,https://movie.douban.com/subject/1418200/
血战钢锯岭 Hacksaw Ridge,2016-12-08(中国大陆),"2016-09-04(威尼斯电影节),2016-11-04(美国)",8.7,https://movie.douban.com/subject/26325320/
教父3 The Godfather: Part III,1990-12-25(美国), ,8.9,https://movie.douban.com/subject/1294240/
时空恋旅人 About Time,2013-09-04(英国), ,8.7,https://movie.douban.com/subject/10577869/
风之谷 風の谷のナウシカ,1992-05(中国大陆),1984-03-11(日本),8.9,https://movie.douban.com/subject/1291585/
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban,2004-09-10(中国大陆),2004-05-31(英国),8.7,https://movie.douban.com/subject/1291544/
釜山行 부산행,2016-05-13(戛纳电影节),2016-07-20(韩国),8.5,https://movie.douban.com/subject/25986180/
电锯惊魂 Saw,2004-01-19(圣丹斯电影节),2004-10-29(美国),8.7,https://movie.douban.com/subject/1417598/
上帝之城 Cidade de Deus,2002-05-18(戛纳电影节),2002-08-30(巴西),8.9,https://movie.douban.com/subject/1292208/
被解救的姜戈 Django Unchained,2013-05-12(中国大陆),2012-12-25(美国),8.7,https://movie.douban.com/subject/6307447/
哪吒闹海,1979-05-19(中国大陆), ,9.1,https://movie.douban.com/subject/1307315/
喜宴 囍宴,1993-02(柏林电影节),1993-08-04(美国),8.9,https://movie.douban.com/subject/1303037/
七武士 七人の侍,1954-04-26(日本), ,9.2,https://movie.douban.com/subject/1295399/
英雄本色,1986-08-02(中国香港),2017-11-17(中国大陆),8.7,https://movie.douban.com/subject/1297574/
我是山姆 I Am Sam,2001-12-03(美国), ,8.9,https://movie.douban.com/subject/1306861/
谍影重重3 The Bourne Ultimatum,2007-11-15(中国大陆),2007-08-03(美国),8.8,https://movie.douban.com/subject/1578507/
岁月神偷 歲月神偷,2010-03-11(中国香港),"2010-04-16(中国大陆),2010-02-14(柏林电影节)",8.7,https://movie.douban.com/subject/3792799/
头号玩家 Ready Player One,2018-03-30(中国大陆),"2018-03-11(西南偏南电影节),2018-03-29(美国)",8.7,https://movie.douban.com/subject/4920389/
纵横四海 緃横四海,1991-02-02(中国香港), ,8.8,https://movie.douban.com/subject/1295409/
疯狂原始人 The Croods,2013-04-20(中国大陆),"2013-02-15(柏林电影节),2013-03-22(美国)",8.7,https://movie.douban.com/subject/1907966/
一个叫欧维的男人决定去死 En man som heter Ove,2015-12-25(瑞典), ,8.8,https://movie.douban.com/subject/26628357/
"三块广告牌 Three Billboards Outside Ebbing, Missouri",2018-03-02(中国大陆),"2017-09-04(威尼斯电影节),2017-12-01(美国)",8.7,https://movie.douban.com/subject/26611804/
心迷宫,2015-10-16(中国大陆),"2014-07-21(FIRST青年影展),2014-08-28(威尼斯电影节)",8.7,https://movie.douban.com/subject/25917973/
哈利·波特与密室 Harry Potter and the Chamber of Secrets,2003-01-24(中国大陆),2002-11-15(英国/美国),8.7,https://movie.douban.com/subject/1296996/
达拉斯买家俱乐部 Dallas Buyers Club,2013-09-07(多伦多电影节),2013-11-22(美国),8.8,https://movie.douban.com/subject/1793929/
卢旺达饭店 Hotel Rwanda,2004-09-11(多伦多电影节),2005-03-04(英国),8.9,https://movie.douban.com/subject/1291822/
你的名字。 君の名は。,2016-12-02(中国大陆),2016-08-26(日本),8.4,https://movie.douban.com/subject/26683290/
花样年华 花樣年華,2000-09-29(中国香港),2000-05-20(戛纳电影节),8.7,https://movie.douban.com/subject/1291557/
萤火虫之墓 火垂るの墓,1988-04-16(日本), ,8.7,https://movie.douban.com/subject/1293318/
记忆碎片 Memento,2000-09-05(威尼斯电影节),"2000-10-20(英国),2001-05-25(美国)",8.6,https://movie.douban.com/subject/1304447/
荒蛮故事 Relatos salvajes,2014-05-17(戛纳电影节),2014-08-21(阿根廷),8.8,https://movie.douban.com/subject/24750126/
贫民窟的百万富翁 Slumdog Millionaire,2009-03-26(中国大陆),"2008-08-30(特柳赖德电影节),2009-01-09(英国)",8.6,https://movie.douban.com/subject/2209573/
东邪西毒 東邪西毒,1994-09-17(中国大陆),1994-09-12(威尼斯电影节),8.6,https://movie.douban.com/subject/1292328/
真爱至上 Love Actually,2003-09-07(多伦多电影节),"2003-11-06(美国),2003-11-21(英国)",8.6,https://movie.douban.com/subject/1292401/
爆裂鼓手 Whiplash,2014-01-16(圣丹斯电影节),2014-10-10(美国),8.7,https://movie.douban.com/subject/25773932/
黑客帝国3：矩阵革命 The Matrix Revolutions,2003-11-05(美国/中国大陆), ,8.8,https://movie.douban.com/subject/1302467/
模仿游戏 The Imitation Game,2015-07-21(中国大陆),"2014-11-14(英国),2014-12-25(美国)",8.7,https://movie.douban.com/subject/10463953/
忠犬八公物语 ハチ公物語,1987-08-01(日本), ,9.2,https://movie.douban.com/subject/1959195/
黑天鹅 Black Swan,2010-09-01(威尼斯电影节),2010-12-17(美国),8.6,https://movie.douban.com/subject/1978709/
头脑特工队 Inside Out,2015-10-06(中国大陆),2015-06-19(美国),8.7,https://movie.douban.com/subject/10533913/
新世界 신세계,2013-02-21(韩国), ,8.8,https://movie.douban.com/subject/10437779/
未麻的部屋 Perfect Blue,1997-07(加拿大奇幻电影节),1998-02-28(日本),9.0,https://movie.douban.com/subject/1395091/
你看起来好像很好吃 おまえうまそうだな,2010-10-16(日本), ,8.9,https://movie.douban.com/subject/4848115/
海街日记 海街diary,2015-05-14(戛纳电影节),2015-06-13(日本),8.8,https://movie.douban.com/subject/25895901/
无敌破坏王 Wreck-It Ralph,2012-11-06(中国大陆),2012-11-02(美国),8.7,https://movie.douban.com/subject/6534248/
雨人 Rain Man,1988-12-16(美国), ,8.7,https://movie.douban.com/subject/1291870/
冰川时代 Ice Age,2002-03-15(美国), ,8.6,https://movie.douban.com/subject/1291578/
恋恋笔记本 The Notebook,2004-06-25(美国), ,8.5,https://movie.douban.com/subject/1309163/
惊魂记 Psycho,1960-06-16(纽约首映),1960-09-08(美国),9.0,https://movie.douban.com/subject/1293181/
二十二,2017-08-14(中国大陆),"2015-10-05(釜山电影节),2016-06-25(莫斯科电影节)",8.7,https://movie.douban.com/subject/26430107/
恐怖游轮 Triangle,2009-10-16(英国), ,8.5,https://movie.douban.com/subject/3011051/
海边的曼彻斯特 Manchester by the Sea,2017-08-25(中国大陆),"2016-01-23(圣丹斯电影节),2016-11-18(美国)",8.6,https://movie.douban.com/subject/25980443/
奇迹男孩 Wonder,2018-01-19(中国大陆),2017-11-17(美国),8.6,https://movie.douban.com/subject/26787574/
小偷家族 万引き家族,2018-08-03(中国大陆),"2018-05-13(戛纳电影节),2018-06-08(日本)",8.7,https://movie.douban.com/subject/27622447/
房间 Room,2015-09-04(特柳赖德电影节),"2015-10-23(多伦多),2016-01-15(爱尔兰/英国),2016-01-22(美国)",8.8,https://movie.douban.com/subject/25724855/
绿里奇迹 The Green Mile,1999-12-10(美国), ,8.8,https://movie.douban.com/subject/1300374/
魔女宅急便 魔女の宅急便,1989-07-29(日本), ,8.6,https://movie.douban.com/subject/1307811/
虎口脱险 La grande vadrouille,1966-12-08(法国), ,8.9,https://movie.douban.com/subject/1296909/
雨中曲 Singin' in the Rain,1952-04-11(美国), ,9.0,https://movie.douban.com/subject/1293460/
疯狂的石头,2006-06-30(中国大陆),2006-08-10(中国香港),8.5,https://movie.douban.com/subject/1862151/
爱在午夜降临前 Before Midnight,2013-06-14(美国), ,8.8,https://movie.douban.com/subject/10808442/
人工智能 Artificial Intelligence: AI,2001-06-29(美国), ,8.6,https://movie.douban.com/subject/1302827/
罗生门 羅生門,1950-08-26(日本), ,8.8,https://movie.douban.com/subject/1291879/
终结者2：审判日 Terminator 2: Judgment Day,1991-07-03(美国),2017-02-17(柏林电影节 3D),8.7,https://movie.douban.com/subject/1291844/
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,2012-06-05(中国大陆),2010-08-12(泰国),8.4,https://movie.douban.com/subject/4739952/
2001太空漫游 2001: A Space Odyssey,1968-04-02(华盛顿首映),1968-05-12(英国),8.8,https://movie.douban.com/subject/1292226/
可可西里,2004-10-01(中国大陆),2005-04-21(中国香港),8.8,https://movie.douban.com/subject/1308857/
魂断蓝桥 Waterloo Bridge,1940-05-17(美国), ,8.8,https://movie.douban.com/subject/1293964/
海洋 Océans,2011-08-12(中国大陆),"2009-10-17(东京电影节),2010-01-27(法国)",9.1,https://movie.douban.com/subject/3443389/
城市之光 City Lights,1931-01-30(洛杉矶首映),1931-03-07(美国),9.3,https://movie.douban.com/subject/1293908/
燃情岁月 Legends of the Fall,1994-12-16(美国), ,8.8,https://movie.douban.com/subject/1295865/
牯岭街少年杀人事件 牯嶺街少年殺人事件,1991-07-27(中国台湾), ,8.8,https://movie.douban.com/subject/1292329/
色，戒,2007-09-24(中国台湾),"2007-09-26(中国香港),2007-11-01(中国大陆),2007-08-30(威尼斯电影节),2007-10-26(美国)",8.5,https://movie.douban.com/subject/1828115/
穿越时空的少女 時をかける少女,2006-07-15(日本), ,8.6,https://movie.douban.com/subject/1937946/
新龙门客栈 新龍門客棧,1992-08-27(中国香港),2012-02-24(中国大陆),8.6,https://movie.douban.com/subject/1292287/
青蛇,1993-11-04(中国香港), ,8.5,https://movie.douban.com/subject/1303394/
无耻混蛋 Inglourious Basterds,2009-05-20(戛纳电影节),2009-08-20(德国),8.6,https://movie.douban.com/subject/1438652/
源代码 Source Code,2011-08-30(中国大陆),"2011-03-11(西南偏南电影节),2011-04-01(美国)",8.5,https://movie.douban.com/subject/3075287/
完美陌生人 Perfetti sconosciuti,2018-05-25(中国大陆),2016-02-11(意大利),8.5,https://movie.douban.com/subject/26614893/
遗愿清单 The Bucket List,2007-12-25(多伦多电影节),2008-01-11(美国),8.6,https://movie.douban.com/subject/1867345/
阿飞正传 阿飛正傳,1990-12-15(中国香港),2018-06-25(中国大陆),8.5,https://movie.douban.com/subject/1305690/
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,2005-11-18(中国大陆),2005-11-06(英国),8.5,https://movie.douban.com/subject/1309055/
九品芝麻官,1994-03-31(中国香港), ,8.5,https://movie.douban.com/subject/1297518/
大佛普拉斯,2017-10-13(中国台湾),2017-06-29(台北电影节),8.7,https://movie.douban.com/subject/27059130/
血钻 Blood Diamond,2006-12-08(美国), ,8.7,https://movie.douban.com/subject/1428175/
谍影重重2 The Bourne Supremacy,2004-11-14(中国大陆),"2004-07-15(洛杉矶首映),2004-07-23(美国)",8.7,https://movie.douban.com/subject/1308767/
香水 Perfume: The Story of a Murderer,2006-09-07(德国),"2006-09-14(法国),2006-11-24(西班牙),2007-01-05(美国)",8.5,https://movie.douban.com/subject/1760622/
地球上的星星 Taare Zameen Par,2007-12-21(印度), ,8.9,https://movie.douban.com/subject/2363506/
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,2015-05-14(澳大利亚),2015-05-15(美国),8.6,https://movie.douban.com/subject/3592854/
战争之王 Lord of War,2005-09-16(美国), ,8.6,https://movie.douban.com/subject/1419936/
步履不停 歩いても 歩いても,2008-06-28(日本), ,8.8,https://movie.douban.com/subject/2222996/
谍影重重 The Bourne Identity,2002-11-21(中国大陆),2002-06-14(美国),8.6,https://movie.douban.com/subject/1304102/
彗星来的那一夜 Coherence,2013-09-19(奇幻电影节),2014-08-06(美国),8.5,https://movie.douban.com/subject/25807345/
猜火车 Trainspotting,1996-02-23(英国), ,8.5,https://movie.douban.com/subject/1292528/
朗读者 The Reader,2008-12-10(纽约首映),"2009-01-30(美国),2009-02-26(德国)",8.6,https://movie.douban.com/subject/2213597/
波西米亚狂想曲 Bohemian Rhapsody,2019-03-22(中国大陆),2018-11-02(美国),8.7,https://movie.douban.com/subject/5300054/
浪潮 Die Welle,2008-03-13(德国), ,8.7,https://movie.douban.com/subject/2297265/
小萝莉的猴神大叔 Bajrangi Bhaijaan,2018-03-02(中国大陆),2015-07-17(印度),8.4,https://movie.douban.com/subject/26393561/
再次出发之纽约遇见你 Begin Again,2015-06-26(中国大陆),"2013-09-07(多伦多电影节),2014-07-11(美国)",8.6,https://movie.douban.com/subject/6874403/
东京物语 東京物語,1953-11-03(日本), ,9.2,https://movie.douban.com/subject/1291568/
驴得水,2016-10-28(中国大陆), ,8.3,https://movie.douban.com/subject/25921812/
聚焦 Spotlight,2015-09-03(威尼斯电影节),2015-11-25(美国),8.8,https://movie.douban.com/subject/25954475/
追随 Following,1998-09-12(多伦多电影节),1999-11-05(英国),8.9,https://movie.douban.com/subject/1397546/
千钧一发 Gattaca,1997-10-24(美国), ,8.8,https://movie.douban.com/subject/1300117/
我爱你 그대를 사랑합니다,2011-02-17(韩国), ,9.0,https://movie.douban.com/subject/5908478/
一次别离 جدایی نادر از سیمین,2012-11-13(中国大陆),"2011-02-15(柏林电影节),2011-03-16(伊朗)",8.7,https://movie.douban.com/subject/5964718/
黑鹰坠落 Black Hawk Down,2001-12-18(美国), ,8.7,https://movie.douban.com/subject/1291824/
黑客帝国2：重装上阵 The Matrix Reloaded,2003-07-18(中国大陆),"2003-05-07(韦斯特伍德首映),2003-05-15(美国)",8.6,https://movie.douban.com/subject/1304141/
网络谜踪 Searching,2018-12-14(中国大陆),"2018-01-20(圣丹斯电影节),2018-08-24(美国)",8.6,https://movie.douban.com/subject/27615441/
四个春天,2019-01-04(中国大陆),"2017-12-30(UCCA艺术放映),2018-07-23(FIRST青年影展)",8.9,https://movie.douban.com/subject/27191492/
发条橙 A Clockwork Orange,1971-12-19(纽约首映),1972-01-13(英国),8.6,https://movie.douban.com/subject/1292233/
E.T. 外星人 E.T.: The Extra-Terrestrial,1982-05-26(戛纳电影节),1982-06-11(美国),8.6,https://movie.douban.com/subject/1294638/
